airline,date_of_journey,source,destination,dep_time,arrival_time,duration,total_stops,additional_info,price
Multiple Carriers,2019-06-27,Delhi,Cochin,07:05:00,21:00:00,835,1.0,No info,13587
Jet Airways,2019-06-06,Delhi,Cochin,16:00:00,04:25:00,745,1.0,In-flight meal not included,10262
Goair,2019-06-12,Banglore,Delhi,20:55:00,23:40:00,165,0.0,No info,3419
Jet Airways,2019-03-01,Mumbai,Hyderabad,07:10:00,08:35:00,85,0.0,No info,17501
Indigo,2019-06-27,Delhi,Cochin,23:30:00,04:35:00,305,1.0,No info,9165
Indigo,2019-06-27,Kolkata,Banglore,20:25:00,23:10:00,165,0.0,No info,4804
Air India,2019-03-21,Mumbai,Hyderabad,21:05:00,22:25:00,80,0.0,No info,2050
Air India,2019-06-03,Delhi,Cochin,17:40:00,09:35:00,955,1.0,No info,7258
Indigo,2019-05-03,Banglore,Delhi,08:30:00,11:20:00,170,0.0,No info,4823
Air India,2019-04-01,Banglore,Delhi,06:10:00,08:55:00,165,0.0,No info,5176
Vistara,2019-05-09,Banglore,Delhi,07:00:00,09:40:00,160,0.0,No info,4668
Vistara,2019-04-01,Kolkata,Banglore,20:20:00,18:50:00,1350,1.0,No info,7927
Jet Airways,2019-06-27,Delhi,Cochin,20:55:00,12:35:00,940,1.0,In-flight meal not included,10262
Indigo,2019-05-12,Delhi,Cochin,14:25:00,17:40:00,195,0.0,No info,5000
Air India,2019-05-06,Kolkata,Banglore,17:30:00,08:55:00,925,1.0,No info,10203
Jet Airways,2019-04-21,Banglore,Delhi,15:15:00,18:10:00,175,0.0,In-flight meal not included,4544
Multiple Carriers,2019-05-27,Delhi,Cochin,18:15:00,01:30:00,435,1.0,In-flight meal not included,7308
Jet Airways,2019-05-18,Kolkata,Banglore,14:05:00,12:00:00,1315,1.0,In-flight meal not included,9663
Vistara,2019-03-24,Kolkata,Banglore,09:55:00,09:10:00,1395,1.0,No info,10842
Indigo,2019-04-06,Delhi,Cochin,06:50:00,12:10:00,320,1.0,No info,5298
Multiple Carriers,2019-05-09,Delhi,Cochin,07:30:00,19:00:00,690,1.0,No info,9315
Jet Airways,2019-06-15,Banglore,Delhi,19:50:00,22:50:00,180,0.0,No info,8016
Jet Airways,2019-05-21,Delhi,Cochin,09:00:00,19:00:00,600,1.0,No info,16079
Spicejet,2019-06-12,Kolkata,Banglore,06:55:00,09:30:00,155,0.0,No check-in baggage included,3841
Jet Airways,2019-06-01,Delhi,Cochin,21:25:00,12:35:00,910,2.0,No info,13292
Jet Airways,2019-03-09,Delhi,Cochin,02:15:00,19:45:00,1050,1.0,No info,15764
Jet Airways,2019-03-18,Banglore,New Delhi,18:40:00,07:40:00,780,1.0,In-flight meal not included,10972
Air India,2019-03-06,Mumbai,Hyderabad,06:10:00,21:15:00,905,1.0,No info,16666
Jet Airways,2019-06-09,Delhi,Cochin,09:35:00,04:25:00,1130,2.0,No info,13292
Air India,2019-05-09,Kolkata,Banglore,09:25:00,07:55:00,1350,1.0,No info,8366
Spicejet,2019-06-01,Banglore,Delhi,05:55:00,08:35:00,160,0.0,No info,3625
Jet Airways,2019-05-12,Kolkata,Banglore,16:30:00,22:35:00,365,1.0,In-flight meal not included,10844
Air India,2019-03-24,Kolkata,Banglore,16:45:00,23:15:00,1830,2.0,No info,13885
Vistara,2019-05-15,Kolkata,Banglore,20:20:00,20:20:00,1440,1.0,No info,8610
Jet Airways,2019-04-01,Mumbai,Hyderabad,02:55:00,04:20:00,85,0.0,No info,5678
Jet Airways,2019-05-09,Delhi,Cochin,17:30:00,19:00:00,1530,1.0,No info,15554
Jet Airways,2019-03-01,Banglore,New Delhi,16:55:00,00:45:00,470,1.0,No info,26890
Multiple Carriers,2019-06-06,Delhi,Cochin,07:00:00,19:00:00,720,1.0,No info,12192
Indigo,2019-04-27,Banglore,Delhi,22:10:00,01:00:00,170,0.0,No info,3943
Indigo,2019-06-12,Delhi,Cochin,07:30:00,21:00:00,810,1.0,No info,6093
Jet Airways,2019-03-09,Delhi,Cochin,19:45:00,04:25:00,520,1.0,No info,15554
Spicejet,2019-06-27,Banglore,Delhi,05:55:00,08:35:00,160,0.0,No info,3625
Air Asia,2019-06-21,Kolkata,Banglore,10:20:00,12:55:00,155,0.0,No info,3807
Jet Airways,2019-06-24,Delhi,Cochin,13:00:00,04:25:00,925,1.0,In-flight meal not included,10262
Multiple Carriers,2019-03-03,Delhi,Cochin,08:55:00,18:50:00,595,1.0,No info,15411
Indigo,2019-03-21,Delhi,Cochin,07:35:00,16:10:00,515,1.0,No info,6558
Jet Airways,2019-06-12,Kolkata,Banglore,09:35:00,19:10:00,575,1.0,No info,12692
Multiple Carriers,2019-06-27,Delhi,Cochin,08:30:00,19:00:00,630,1.0,No info,11200
Air India,2019-03-06,Mumbai,Hyderabad,19:30:00,20:45:00,75,0.0,No info,5462
Jet Airways,2019-06-01,Delhi,Cochin,19:30:00,12:35:00,1025,2.0,No info,13014
Air India,2019-06-03,Delhi,Cochin,07:00:00,19:15:00,735,1.0,No info,8879
Jet Airways,2019-05-09,Kolkata,Banglore,08:25:00,09:20:00,1495,1.0,In-flight meal not included,9663
Indigo,2019-03-15,Mumbai,Hyderabad,06:20:00,07:45:00,85,0.0,No info,3342
Jet Airways,2019-05-06,Banglore,Delhi,06:00:00,08:45:00,165,0.0,No info,7229
Jet Airways,2019-06-15,Delhi,Cochin,22:50:00,12:35:00,825,1.0,In-flight meal not included,10262
Jet Airways,2019-05-12,Mumbai,Hyderabad,10:20:00,11:50:00,90,0.0,No info,5678
Jet Airways,2019-03-06,Banglore,New Delhi,08:00:00,13:15:00,315,1.0,No info,19225
Air Asia,2019-05-12,Banglore,Delhi,23:55:00,02:45:00,170,0.0,No info,4483
Indigo,2019-05-27,Delhi,Cochin,10:35:00,21:00:00,625,1.0,No info,6314
Air India,2019-04-03,Mumbai,Hyderabad,06:20:00,07:40:00,80,0.0,No info,3100
Jet Airways,2019-05-18,Kolkata,Banglore,09:35:00,19:10:00,575,1.0,No info,13067
Indigo,2019-06-27,Delhi,Cochin,07:30:00,21:00:00,810,1.0,No info,6093
Jet Airways,2019-03-24,Kolkata,Banglore,08:25:00,22:35:00,850,1.0,No info,13759
Indigo,2019-06-21,Mumbai,Hyderabad,02:35:00,04:05:00,90,0.0,No info,2754
Multiple Carriers,2019-05-27,Delhi,Cochin,18:00:00,01:30:00,450,1.0,No info,7198
Air India,2019-04-01,Delhi,Cochin,20:40:00,09:25:00,765,1.0,No info,5117
Jet Airways,2019-06-06,Delhi,Cochin,09:25:00,04:25:00,1140,2.0,In-flight meal not included,11992
Vistara,2019-06-18,Chennai,Kolkata,07:05:00,09:20:00,135,0.0,No info,3687
Jet Airways,2019-03-18,Banglore,New Delhi,22:50:00,09:00:00,610,1.0,In-flight meal not included,11087
Air India,2019-03-27,Chennai,Kolkata,11:40:00,13:55:00,135,0.0,No info,3145
Jet Airways,2019-05-15,Banglore,Delhi,18:55:00,22:00:00,185,0.0,In-flight meal not included,4030
Jet Airways,2019-03-27,Delhi,Cochin,13:00:00,04:25:00,925,1.0,In-flight meal not included,6960
Jet Airways,2019-03-06,Banglore,New Delhi,05:45:00,12:25:00,400,1.0,No info,22270
Multiple Carriers,2019-03-09,Delhi,Cochin,04:00:00,12:55:00,535,1.0,No info,16259
Jet Airways,2019-05-12,Kolkata,Banglore,20:00:00,18:15:00,1335,1.0,In-flight meal not included,10844
Spicejet,2019-04-01,Banglore,Delhi,21:10:00,00:05:00,175,0.0,No info,3625
Indigo,2019-03-01,Mumbai,Hyderabad,21:20:00,22:45:00,85,0.0,No info,12475
Spicejet,2019-06-06,Delhi,Cochin,15:45:00,22:05:00,380,1.0,No info,5583
Jet Airways,2019-05-18,Delhi,Cochin,07:05:00,19:00:00,715,1.0,In-flight meal not included,12373
Spicejet,2019-04-09,Banglore,Delhi,09:30:00,12:20:00,170,0.0,No info,4423
Jet Airways,2019-03-03,Delhi,Cochin,05:40:00,04:25:00,1365,2.0,No info,19266
Multiple Carriers,2019-06-09,Delhi,Cochin,09:00:00,21:00:00,720,1.0,No info,13587
Jet Airways,2019-05-18,Kolkata,Banglore,08:25:00,09:20:00,1495,1.0,In-flight meal not included,9663
Air India,2019-03-03,Banglore,New Delhi,13:20:00,16:10:00,170,0.0,No info,12841
Goair,2019-06-21,Banglore,Delhi,11:40:00,14:30:00,170,0.0,No info,3398
Jet Airways,2019-04-01,Kolkata,Banglore,09:35:00,19:10:00,575,1.0,No info,11467
Jet Airways,2019-05-18,Delhi,Cochin,05:30:00,19:00:00,810,2.0,No info,15129
Air Asia,2019-05-06,Kolkata,Banglore,19:55:00,22:25:00,150,0.0,No info,4409
Indigo,2019-03-03,Kolkata,Banglore,20:25:00,23:05:00,160,0.0,No info,6038
Jet Airways,2019-05-12,Kolkata,Banglore,14:05:00,23:35:00,570,1.0,No info,14781
Vistara,2019-05-09,Delhi,Cochin,14:40:00,17:50:00,190,0.0,No info,6216
Spicejet,2019-05-01,Chennai,Kolkata,08:20:00,10:35:00,135,0.0,No check-in baggage included,3543
Goair,2019-05-18,Delhi,Cochin,07:25:00,13:35:00,370,1.0,No info,6296
Jet Airways,2019-05-06,Kolkata,Banglore,09:35:00,10:55:00,1520,1.0,No info,13067
Indigo,2019-03-01,Chennai,Kolkata,07:55:00,10:15:00,140,0.0,No info,8580
Jet Airways,2019-05-15,Kolkata,Banglore,08:25:00,19:50:00,685,1.0,No info,14781
Vistara,2019-06-12,Kolkata,Banglore,17:00:00,10:45:00,1065,1.0,No info,8452
Multiple Carriers,2019-03-09,Delhi,Cochin,07:05:00,22:20:00,915,1.0,No info,6916
Jet Airways,2019-05-21,Delhi,Cochin,07:05:00,04:25:00,1280,1.0,In-flight meal not included,12898
Jet Airways,2019-05-18,Delhi,Cochin,23:05:00,04:25:00,1760,2.0,No info,16704
Vistara,2019-06-09,Kolkata,Banglore,17:00:00,22:55:00,355,1.0,No info,9187
Jet Airways,2019-03-06,Banglore,New Delhi,20:35:00,08:15:00,700,1.0,No info,16736
Air India,2019-06-24,Banglore,Delhi,13:20:00,16:10:00,170,0.0,No info,6961
Air India,2019-05-01,Kolkata,Banglore,09:25:00,05:25:00,1200,2.0,No info,14687
Air Asia,2019-05-09,Delhi,Cochin,16:45:00,07:10:00,865,1.0,No info,7353
Air India,2019-03-03,Banglore,New Delhi,08:50:00,11:10:00,1580,2.0,No info,12599
Jet Airways,2019-05-15,Banglore,Delhi,17:45:00,20:45:00,180,0.0,No info,7229
Indigo,2019-06-06,Delhi,Cochin,06:40:00,21:00:00,860,1.0,No info,6093
Multiple Carriers,2019-06-24,Delhi,Cochin,06:40:00,19:00:00,740,1.0,No info,10877
Indigo,2019-03-03,Banglore,New Delhi,18:55:00,21:45:00,170,0.0,No info,8855
Air India,2019-03-09,Delhi,Cochin,13:15:00,09:25:00,1210,2.0,No info,11622
Spicejet,2019-05-18,Kolkata,Banglore,11:35:00,18:50:00,435,1.0,No info,8479
Air Asia,2019-06-12,Banglore,Delhi,11:10:00,13:55:00,165,0.0,No info,3383
Goair,2019-04-03,Banglore,Delhi,11:40:00,14:30:00,170,0.0,No info,3898
Vistara,2019-06-01,Chennai,Kolkata,17:45:00,20:05:00,140,0.0,No info,11982
Jet Airways,2019-05-18,Kolkata,Banglore,05:45:00,09:20:00,1655,1.0,No info,14388
Jet Airways,2019-03-18,Banglore,New Delhi,14:05:00,20:20:00,375,1.0,No info,13555
Indigo,2019-04-24,Delhi,Cochin,20:25:00,01:30:00,305,1.0,No info,5065
Multiple Carriers,2019-03-27,Delhi,Cochin,09:55:00,21:00:00,665,1.0,No info,12537
Jet Airways,2019-03-12,Mumbai,Hyderabad,08:15:00,16:35:00,500,2.0,No info,23843
Multiple Carriers,2019-05-21,Delhi,Cochin,17:00:00,01:30:00,510,1.0,No info,7888
Jet Airways,2019-06-12,Kolkata,Banglore,20:00:00,12:00:00,960,1.0,In-flight meal not included,8529
Multiple Carriers,2019-05-09,Delhi,Cochin,10:20:00,19:15:00,535,1.0,No info,8266
Jet Airways,2019-06-09,Kolkata,Banglore,20:25:00,09:45:00,800,1.0,In-flight meal not included,13469
Air India,2019-04-09,Delhi,Cochin,05:55:00,19:15:00,2240,2.0,No info,7711
Indigo,2019-05-15,Kolkata,Banglore,19:35:00,23:15:00,220,1.0,No info,4226
Indigo,2019-03-06,Chennai,Kolkata,07:55:00,10:15:00,140,0.0,No info,7295
Indigo,2019-03-03,Delhi,Cochin,04:45:00,15:30:00,645,1.0,No info,14871
Indigo,2019-04-01,Delhi,Cochin,06:50:00,12:10:00,320,1.0,No info,5298
Goair,2019-03-03,Delhi,Cochin,07:30:00,13:20:00,350,1.0,No info,6112
Air India,2019-05-12,Kolkata,Banglore,09:25:00,05:35:00,1210,2.0,No info,11432
Air India,2019-03-12,Banglore,New Delhi,06:45:00,20:35:00,830,1.0,No info,12127
Air India,2019-05-18,Kolkata,Banglore,12:00:00,13:15:00,1515,1.0,No info,7662
Jet Airways,2019-06-01,Delhi,Cochin,21:50:00,04:25:00,395,1.0,No info,14714
Goair,2019-06-15,Delhi,Cochin,10:35:00,19:35:00,540,1.0,No info,4959
Spicejet,2019-04-09,Kolkata,Banglore,15:05:00,20:20:00,315,1.0,No info,4649
Spicejet,2019-06-15,Banglore,Delhi,09:30:00,12:20:00,170,0.0,No check-in baggage included,4885
Jet Airways,2019-06-09,Delhi,Cochin,09:40:00,04:25:00,1125,2.0,No info,13014
Multiple Carriers,2019-05-18,Delhi,Cochin,19:00:00,01:30:00,390,1.0,No info,7670
Spicejet,2019-03-21,Delhi,Cochin,08:45:00,13:15:00,270,1.0,No check-in baggage included,6356
Multiple Carriers,2019-06-01,Delhi,Cochin,13:00:00,01:30:00,750,1.0,No info,13377
Indigo,2019-04-12,Banglore,Delhi,18:55:00,21:50:00,175,0.0,No info,5780
Indigo,2019-04-21,Delhi,Cochin,07:35:00,12:10:00,275,1.0,No info,5703
Jet Airways,2019-06-12,Kolkata,Banglore,08:25:00,10:05:00,1540,1.0,In-flight meal not included,8529
Air India,2019-05-27,Chennai,Kolkata,11:40:00,13:55:00,135,0.0,No info,4667
Air India,2019-05-15,Delhi,Cochin,17:15:00,19:15:00,1560,2.0,No info,13022
Spicejet,2019-04-03,Banglore,Delhi,05:55:00,08:35:00,160,0.0,No info,3971
Air India,2019-06-09,Mumbai,Hyderabad,15:00:00,16:25:00,85,0.0,No info,3100
Indigo,2019-04-06,Banglore,Delhi,22:10:00,01:00:00,170,0.0,No info,3943
Air India,2019-03-06,Delhi,Cochin,12:00:00,19:15:00,435,2.0,No info,11858
Multiple Carriers,2019-06-27,Delhi,Cochin,09:00:00,19:15:00,615,1.0,No info,14848
Jet Airways,2019-06-09,Delhi,Cochin,22:50:00,19:00:00,1210,1.0,In-flight meal not included,10262
Goair,2019-04-06,Banglore,Delhi,20:55:00,23:40:00,165,0.0,No info,3419
Indigo,2019-06-01,Mumbai,Hyderabad,21:20:00,22:50:00,90,0.0,No info,2227
Air India,2019-05-21,Kolkata,Banglore,10:00:00,05:25:00,1165,2.0,No info,13899
Spicejet,2019-05-27,Chennai,Kolkata,08:20:00,10:35:00,135,0.0,No check-in baggage included,3543
Jet Airways,2019-05-18,Delhi,Cochin,11:00:00,14:15:00,195,0.0,No info,9564
Air India,2019-06-09,Delhi,Cochin,07:05:00,09:25:00,1580,2.0,No info,11185
Jet Airways,2019-06-24,Delhi,Cochin,21:25:00,19:00:00,1295,2.0,No info,13292
Jet Airways,2019-06-12,Banglore,Delhi,07:10:00,10:10:00,180,0.0,No info,8016
Multiple Carriers,2019-06-01,Delhi,Cochin,08:00:00,21:00:00,780,1.0,No info,13587
Indigo,2019-05-12,Banglore,Delhi,10:10:00,13:00:00,170,0.0,No info,3943
Jet Airways,2019-06-12,Delhi,Cochin,13:00:00,19:00:00,360,1.0,In-flight meal not included,10262
Indigo,2019-05-24,Kolkata,Banglore,19:20:00,23:45:00,265,1.0,No info,3809
Air Asia,2019-04-06,Kolkata,Banglore,19:55:00,22:25:00,150,0.0,No info,3807
Air Asia,2019-06-09,Banglore,Delhi,23:55:00,02:45:00,170,0.0,No info,7120
Air India,2019-04-03,Delhi,Cochin,14:10:00,17:10:00,180,0.0,No info,4729
Jet Airways,2019-04-03,Mumbai,Hyderabad,02:55:00,04:20:00,85,0.0,In-flight meal not included,2228
Air India,2019-06-01,Kolkata,Banglore,20:45:00,23:20:00,155,0.0,No info,4145
Air India,2019-03-03,Banglore,New Delhi,19:10:00,10:35:00,925,2.0,No info,13355
Multiple Carriers,2019-06-15,Delhi,Cochin,09:45:00,22:30:00,765,1.0,No info,9646
Spicejet,2019-05-27,Kolkata,Banglore,06:55:00,09:30:00,155,0.0,No info,3873
Air India,2019-06-12,Kolkata,Banglore,09:25:00,18:30:00,545,1.0,No info,8366
Jet Airways,2019-06-12,Kolkata,Banglore,14:05:00,12:00:00,1315,1.0,In-flight meal not included,8529
Indigo,2019-06-03,Delhi,Cochin,11:25:00,21:00:00,575,1.0,No info,6093
Jet Airways,2019-03-06,Banglore,New Delhi,14:05:00,07:40:00,1055,1.0,In-flight meal not included,13502
Spicejet,2019-05-18,Chennai,Kolkata,08:20:00,10:35:00,135,0.0,No info,3597
Jet Airways,2019-05-27,Banglore,Delhi,17:45:00,20:45:00,180,0.0,No info,7229
Indigo,2019-04-21,Delhi,Cochin,02:00:00,07:45:00,345,1.0,No info,6258
Indigo,2019-05-15,Delhi,Cochin,08:30:00,21:00:00,750,1.0,No info,7503
Multiple Carriers,2019-06-27,Delhi,Cochin,04:55:00,12:35:00,460,1.0,No info,10678
Air India,2019-05-21,Kolkata,Banglore,14:30:00,08:55:00,1105,2.0,No info,15107
Air India,2019-05-21,Delhi,Cochin,18:45:00,19:15:00,1470,2.0,No info,12257
Goair,2019-03-06,Delhi,Cochin,10:25:00,19:20:00,535,1.0,No info,8213
Multiple Carriers,2019-03-06,Delhi,Cochin,09:45:00,16:10:00,385,1.0,No info,10276
Air India,2019-03-21,Delhi,Cochin,17:15:00,07:40:00,865,2.0,No info,8052
Indigo,2019-05-15,Mumbai,Hyderabad,09:10:00,10:40:00,90,0.0,No info,4575
Multiple Carriers,2019-03-03,Delhi,Cochin,10:20:00,01:35:00,915,1.0,No info,15147
Air India,2019-06-12,Delhi,Cochin,18:45:00,19:15:00,1470,2.0,No info,11732
Air India,2019-06-06,Delhi,Cochin,12:00:00,19:15:00,435,2.0,No info,8603
Jet Airways,2019-03-15,Banglore,New Delhi,05:45:00,13:15:00,450,1.0,In-flight meal not included,9134
Goair,2019-03-27,Delhi,Cochin,06:00:00,13:20:00,440,1.0,No info,4563
Spicejet,2019-03-12,Chennai,Kolkata,09:30:00,12:05:00,155,0.0,No info,6300
Indigo,2019-06-12,Delhi,Cochin,02:00:00,07:45:00,345,1.0,No info,6386
Indigo,2019-03-03,Delhi,Cochin,09:10:00,21:00:00,710,1.0,No info,14871
Indigo,2019-03-03,Banglore,New Delhi,13:00:00,15:50:00,170,0.0,No info,7648
Spicejet,2019-05-21,Chennai,Kolkata,08:20:00,10:35:00,135,0.0,No info,3597
Jet Airways,2019-06-06,Banglore,Delhi,06:00:00,08:45:00,165,0.0,No info,8016
Jet Airways,2019-05-01,Kolkata,Banglore,18:55:00,10:05:00,910,1.0,No info,13941
Indigo,2019-06-15,Mumbai,Hyderabad,19:05:00,20:35:00,90,0.0,No info,2754
Jet Airways,2019-05-18,Kolkata,Banglore,20:00:00,08:15:00,735,1.0,In-flight meal not included,8586
Multiple Carriers,2019-06-12,Delhi,Cochin,19:00:00,01:30:00,390,1.0,No info,6795
Indigo,2019-06-15,Banglore,Delhi,21:15:00,00:15:00,180,0.0,No info,3943
Indigo,2019-06-12,Delhi,Cochin,20:25:00,01:30:00,305,1.0,No info,5058
Multiple Carriers,2019-06-15,Delhi,Cochin,14:00:00,21:00:00,420,1.0,No info,13587
Air India,2019-06-01,Banglore,Delhi,13:20:00,16:10:00,170,0.0,No info,6961
Air India,2019-05-27,Delhi,Cochin,13:00:00,19:15:00,375,1.0,No info,9719
Air India,2019-06-09,Delhi,Cochin,05:00:00,07:40:00,1600,2.0,No info,10756
Jet Airways,2019-03-27,Delhi,Cochin,11:30:00,04:25:00,1015,1.0,In-flight meal not included,6017
Vistara,2019-03-09,Banglore,New Delhi,11:30:00,14:10:00,160,0.0,No info,9918
Air India,2019-05-15,Delhi,Cochin,17:15:00,09:25:00,970,2.0,No info,8839
Air India,2019-06-01,Mumbai,Hyderabad,13:55:00,15:25:00,90,0.0,No info,3625
Jet Airways,2019-06-09,Kolkata,Banglore,18:55:00,19:50:00,1495,1.0,In-flight meal not included,10844
Goair,2019-04-12,Banglore,Delhi,20:55:00,23:40:00,165,0.0,No info,6722
Indigo,2019-05-18,Delhi,Cochin,14:25:00,17:40:00,195,0.0,No info,6015
Indigo,2019-05-21,Kolkata,Banglore,21:00:00,02:15:00,315,1.0,No info,7228
Multiple Carriers,2019-03-27,Delhi,Cochin,06:00:00,19:15:00,795,1.0,No info,8371
Jet Airways,2019-05-15,Kolkata,Banglore,17:00:00,23:35:00,395,1.0,No info,14151
Vistara,2019-05-27,Chennai,Kolkata,17:45:00,20:05:00,140,0.0,No info,11982
Air India,2019-05-12,Mumbai,Hyderabad,19:30:00,20:45:00,75,0.0,No info,3625
Jet Airways,2019-05-21,Delhi,Cochin,10:00:00,12:35:00,1595,1.0,In-flight meal not included,12898
Jet Airways,2019-06-06,Kolkata,Banglore,20:25:00,14:25:00,1080,1.0,No info,12692
Jet Airways,2019-03-27,Delhi,Cochin,06:20:00,04:25:00,1325,2.0,No info,12273
Air India,2019-05-24,Banglore,Delhi,17:00:00,19:45:00,165,0.0,No info,7171
Jet Airways,2019-06-06,Kolkata,Banglore,21:10:00,04:40:00,450,1.0,In-flight meal not included,7757
Air India,2019-06-09,Kolkata,Banglore,10:00:00,20:25:00,625,1.0,No info,10413
Jet Airways,2019-06-03,Delhi,Cochin,10:00:00,12:35:00,1595,1.0,In-flight meal not included,10262
Jet Airways,2019-04-01,Kolkata,Banglore,20:25:00,22:05:00,1540,1.0,No info,12121
Jet Airways,2019-06-03,Delhi,Cochin,09:00:00,12:35:00,1655,1.0,In-flight meal not included,10262
Jet Airways,2019-03-03,Banglore,New Delhi,05:45:00,05:05:00,1400,1.0,In-flight meal not included,11087
Jet Airways,2019-06-24,Delhi,Cochin,09:00:00,04:25:00,1165,1.0,In-flight meal not included,10262
Jet Airways,2019-06-03,Delhi,Cochin,14:00:00,04:25:00,865,1.0,No info,14714
Jet Airways,2019-05-09,Delhi,Cochin,19:30:00,04:25:00,535,2.0,In-flight meal not included,13029
Jet Airways,2019-05-12,Kolkata,Banglore,10:20:00,17:35:00,435,1.0,In-flight meal not included,7064
Jet Airways,2019-06-12,Kolkata,Banglore,18:55:00,16:20:00,1285,1.0,No info,13044
Air India,2019-03-06,Mumbai,Hyderabad,12:00:00,12:25:00,1465,1.0,No info,14408
Jet Airways,2019-06-09,Kolkata,Banglore,09:35:00,22:05:00,750,1.0,In-flight meal not included,13994
Multiple Carriers,2019-05-15,Delhi,Cochin,11:25:00,19:15:00,470,1.0,No info,7575
Indigo,2019-06-09,Kolkata,Banglore,09:35:00,12:20:00,165,0.0,No info,4804
Spicejet,2019-03-27,Mumbai,Hyderabad,13:10:00,14:30:00,80,0.0,No info,2017
Multiple Carriers,2019-05-18,Delhi,Cochin,12:50:00,21:00:00,490,1.0,No info,7670
Jet Airways,2019-06-12,Kolkata,Banglore,14:05:00,09:20:00,1155,1.0,No info,13044
Air India,2019-04-09,Delhi,Cochin,17:15:00,07:40:00,865,2.0,No info,8052
Vistara,2019-06-01,Banglore,Delhi,11:30:00,14:20:00,170,0.0,No info,4668
Multiple Carriers,2019-05-21,Delhi,Cochin,09:15:00,19:15:00,600,1.0,No info,8099
Indigo,2019-03-06,Delhi,Cochin,16:00:00,21:00:00,300,1.0,No info,7725
Jet Airways,2019-05-01,Kolkata,Banglore,14:05:00,04:40:00,875,1.0,No info,13941
Spicejet,2019-05-01,Chennai,Kolkata,08:20:00,10:35:00,135,0.0,No info,3597
Spicejet,2019-04-01,Banglore,Delhi,09:30:00,12:20:00,170,0.0,No info,3971
Air India,2019-04-03,Banglore,Delhi,17:00:00,19:45:00,165,0.0,No info,5176
Multiple Carriers,2019-06-15,Delhi,Cochin,10:35:00,19:00:00,505,1.0,No info,10877
Jet Airways,2019-05-21,Kolkata,Banglore,20:00:00,08:15:00,735,1.0,In-flight meal not included,10844
Air India,2019-03-27,Mumbai,Hyderabad,06:20:00,07:40:00,80,0.0,No info,2575
Multiple Carriers,2019-06-24,Delhi,Cochin,10:00:00,21:00:00,660,1.0,No info,13587
Spicejet,2019-05-01,Mumbai,Hyderabad,22:45:00,00:15:00,90,0.0,No check-in baggage included,1965
Spicejet,2019-04-09,Banglore,Delhi,05:55:00,08:35:00,160,0.0,No info,3971
Jet Airways,2019-05-01,Kolkata,Banglore,16:30:00,23:35:00,425,1.0,No info,14781
Indigo,2019-03-03,Chennai,Kolkata,13:20:00,15:35:00,135,0.0,No info,7295
Air India,2019-06-06,Delhi,Cochin,13:15:00,09:25:00,1210,2.0,No info,10939
Multiple Carriers,2019-06-15,Delhi,Cochin,09:15:00,19:15:00,600,1.0,No info,9359
Jet Airways,2019-06-24,Banglore,Delhi,19:50:00,22:50:00,180,0.0,No info,8016
Jet Airways,2019-03-09,Banglore,New Delhi,07:00:00,20:20:00,800,1.0,In-flight meal not included,11087
Indigo,2019-06-06,Banglore,Delhi,01:30:00,04:15:00,165,0.0,No info,3943
Vistara,2019-05-06,Chennai,Kolkata,17:45:00,20:05:00,140,0.0,No info,11982
Jet Airways,2019-03-18,Banglore,New Delhi,05:45:00,12:25:00,400,1.0,No info,12284
Jet Airways,2019-04-01,Kolkata,Banglore,18:55:00,19:50:00,1495,1.0,No info,12681
Multiple Carriers,2019-03-21,Delhi,Cochin,11:40:00,18:50:00,430,1.0,No info,11999
Spicejet,2019-05-15,Banglore,Delhi,09:30:00,12:20:00,170,0.0,No info,4423
Air India,2019-05-01,Chennai,Kolkata,11:40:00,13:55:00,135,0.0,No info,4667
Air India,2019-05-12,Delhi,Cochin,18:05:00,21:10:00,185,0.0,No info,6304
Multiple Carriers,2019-03-21,Delhi,Cochin,06:00:00,15:30:00,570,1.0,No info,11269
Jet Airways,2019-06-12,Kolkata,Banglore,09:35:00,22:05:00,750,1.0,In-flight meal not included,10539
Multiple Carriers,2019-06-06,Delhi,Cochin,06:40:00,19:15:00,755,1.0,No info,7354
Indigo,2019-05-12,Banglore,Delhi,16:55:00,19:55:00,180,0.0,No info,4823
Jet Airways,2019-05-09,Delhi,Cochin,13:25:00,19:00:00,1775,2.0,No info,15129
Jet Airways,2019-05-09,Kolkata,Banglore,21:10:00,10:05:00,775,1.0,No info,14388
Indigo,2019-05-12,Kolkata,Banglore,09:35:00,12:20:00,165,0.0,No info,4804
Jet Airways,2019-06-15,Delhi,Cochin,20:55:00,12:35:00,940,1.0,In-flight meal not included,10262
Spicejet,2019-04-21,Kolkata,Banglore,22:20:00,00:40:00,140,0.0,No check-in baggage included,4807
Spicejet,2019-06-03,Kolkata,Banglore,22:20:00,00:40:00,140,0.0,No check-in baggage included,3841
Multiple Carriers,2019-06-27,Delhi,Cochin,11:40:00,19:15:00,455,1.0,In-flight meal not included,7268
Jet Airways,2019-03-24,Kolkata,Banglore,21:10:00,10:05:00,775,1.0,No info,14914
Jet Airways,2019-05-27,Delhi,Cochin,13:00:00,19:00:00,360,1.0,In-flight meal not included,12898
Jet Airways,2019-04-15,Banglore,Delhi,18:55:00,22:00:00,185,0.0,In-flight meal not included,4544
